sentence,original annotation,claude annotation,literal example,"metaphorical to literal
appropriateness","original annotation
appropriateness",
They’re following us.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, LINK, FORCE",The car is driving behind our car on the road.,,,
When will he come to the point?,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT",When will he arrive at the destination?,,,
I can see where this is going.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT",I can see where the car is driving.,,,
"You must follow exactly the path that the Lord your God has commanded you, …",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, LINK","You must walk precisely on the trail that the park ranger has marked for you, …",,,
"My foot has held fast to his steps, I have kept his way and have not turned aside.",SOURCE_PATH_GOAL,"CONTACT, LINK, SOURCE_PATH_GOAL, FORCE",I have consistently followed his exact route without deviating from the path.,,,
"I have chosen him, that he may charge his children and his household after him to keep the way of the Lord by doing righteousness and justice.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE, LINK, SUPPORT",I have selected a leader to instruct his family to follow specific rules and behaviors.,,,
"Lead me in the path your commandments, for I delight in it.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT","Guide me along the marked trail, for I enjoy walking on it.",,,
Do not let me stray from your commandments.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE",Do not let the dog stray from the marked path.,,,
"They did not walk in the ways of God’s commandments, or tread the paths his righteousness showed them.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, SUPPORT","They did not follow the rules set by the authority, or adhere to the guidelines provided for proper behavior.",,,
"For I have kept the ways of the Lord, and have not wickedly departed from my God.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, LINK",I have stayed on the designated path and have not left the marked area.,,,
"But when they [the Israelites] departed from the way he  [God] had prescribed for them, they were utterly defeated..",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT, SCALE","When the hikers left the marked trail, they became completely lost in the wilderness.",,,
The Lord to Moses] Your people  …] have been quick to turn aside from the way that I commanded them.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, VERTICALITY",The hikers quickly left the marked trail I had instructed them to follow.,,,
"Because they turned aside from following him, and had no regard for any of his ways",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, LINK, FORCE, OBJECT","Because they stepped off the path he was walking on, and didn't look at any of the routes he took",,,
"if you do not obey the commandments of the Lord your God, but turn from the way that I am commanding you today, to follow other gods",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, LINK, CONTAINMENT","If you do not follow the marked path, but change direction from the route I am showing you today, to walk on different trails",,,
He is a deviant.,SOURCE_PATH_GOAL,"SCALE, CENTER-PERIPHERY",He stands outside the circle.,,,
He deviated from the straight and narrow.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, SCALE",He turned off the straight road onto a side path.,,,
She strayed.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT",She walked off the designated path.,,,
He went over this in his mind.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",He walked over the bridge on foot.,,,
The question of overtime pay proved to be an insurmountable stumbling block to agreement.,SOURCE_PATH_GOAL,"OBJECT, FORCE, SOURCE_PATH_GOAL, VERTICALITY",The large rock on the path prevented hikers from reaching their destination.,,,
We reason from premise to conclusion.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, LINK, FORCE",We walk from the starting point to the destination.,,,
The evidence pointed in all different directions.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, SPLITTING",The arrows pointed in all different directions.,,,
Reason leads me to that conclusion.,SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, OBJECT",The wind forces the leaf to the ground.,,,
This assumption is what’s misleading us.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, OBJECT",This map is what's leading us in the wrong direction.,,,
We’re going around in circles.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",The car is driving around the circular track.,,,
We're making progress on defining what kind of house we are looking for.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, CONTAINMENT",We're moving forward on the road towards our destination.,,,
You should move on with your life.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, OBJECT",You should walk forward on the path.,,,
We’ve come a long way.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE",We've walked a long distance.,,,
We've covered lots of ground.,SOURCE_PATH_GOAL,"COVERING, SOURCE_PATH_GOAL, SUBSTANCE",We've walked across a large area of land.,,,
We've made it this far!,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE",We've walked to this point on the path.,,,
"President Obama said the international community has made great strides toward locking down loose nuclear material, but warned the threat of nuclear materials falling into the hands of terrorist remains.",SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT, FORCE, LINK","The security team has secured the hazardous materials in a vault, but cautioned that some dangerous substances might still be accessible to unauthorized individuals.",,,
He is far more intelligent than he looks.,SOURCE_PATH_GOAL,"SCALE, SOURCE_PATH_GOAL, VERTICALITY",The mountain is much taller than it appears from a distance.,,,
"Senate Majority Leader Harry Reid, D-Nevada, told reporters that the next 24 hours would be ""very important"" toward efforts to reach a deal to lessen the harshest impacts of the fiscal cliff, a combination of broad tax hikes and deep spending cuts due to take effect at the start of the new year.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, FORCE, VERTICALITY","The hiker told his group that the next mile would be crucial for reaching the summit before nightfall, as the path becomes steeper and more challenging near the top of the mountain.",,,
"Democrats Push Through Historic, Controversial Health Care Legislation",SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, OBJECT",Workers push a heavy cart through a narrow doorway,,,
The Senate voted 92-5 Tuesday to move the bill forward to a full vote later this week.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, OBJECT, SCALE",The car moved forward on the road to reach its destination later in the day.,,,
We are reaching the end of the house-buying process.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",We are walking to the end of the hallway.,,,
"Finally, all my educational goals are in reach.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, CONTACT","Finally, all the books are within arm's reach on the shelf.",,,
We are entering the last stages of filing for bankruptcy.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, SCALE",We are walking into the final rooms of the courthouse.,,,
We are at a standstill.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE",The car is stopped on the road.,,,
We aren't getting any place.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE",The car isn't moving forward on the road.,,,
We aren't going anywhere.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT",The car isn't moving from its parking spot.,,,
We are going nowhere with this.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE",The car is not moving on the road.,,,
We've reached the end.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTACT, OBJECT",The car has reached the destination.,,,
We are seeing the light at the end of the tunnel.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT, VERTICALITY",We are seeing the exit at the end of the underground passage.,,,
We only have a short way to go.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE",The road ahead is short.,,,
The end is in sight.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",The finish line is visible ahead.,,,
The end is a long ways off.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, OBJECT",The destination is far away on the road.,,,
How close are these two numbers?,SOURCE_PATH_GOAL,"SCALE, CONTACT, LINK",How small is the distance between these two points?,,,
"37 is far away from 189,712.",SOURCE_PATH_GOAL,"SCALE, SOURCE_PATH_GOAL, OBJECT",The house is far away from the city center.,,,
4.9 is near 5.,SOURCE_PATH_GOAL,"SCALE, CONTACT, CENTER-PERIPHERY",The red house is near the blue house.,,,
The result is around 40.,SOURCE_PATH_GOAL,"SCALE, CENTER-PERIPHERY",The temperature is approximately 40 degrees.,,,
"Count up to 20, without skipping any numbers.",SOURCE_PATH_GOAL,"SCALE, SOURCE_PATH_GOAL, PART-WHOLE","Walk up 20 steps, without missing any stairs.",,,
Count backward from 20.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, VERTICALITY",Walk backward from the twentieth step.,,,
"Count to 100, starting at 20.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE","Walk to the end of the street, starting from the second lamppost.",,,
Name all the numbers from 2 to 10.,SOURCE_PATH_GOAL,"SCALE, SOURCE_PATH_GOAL, CONTAINMENT",List the integers between 1 and 11.,,,
Zero lies between one and minus one.,SOURCE_PATH_GOAL,"CENTER-PERIPHERY, SCALE, CONTAINMENT",The book sits between two bookends on the shelf.,,,
to get into the story.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",to enter the room.,,,
I was astounded at the way you can walk in—almost walk into a book and just live in it.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",I was surprised at how you can enter a building and stay inside it.,,,
going to a place where you had never been yet but might be curious about or had heard something about.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",Walking to a new building you've seen on a map but haven't visited before.,,,
"The writer did a wonderful job of transporting me into the worlds of half a dozen different people, totally different from mine, outside my experience, but somehow I made them all real.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE, OBJECT","The bus driver transported passengers to six different cities, each distinct from the others and unfamiliar to the travelers, but they all arrived safely at their destinations.",,,
you’re following the character,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, LINK",You're walking behind the person.,,,
So you do feel like you’ve been on the trip with them actually.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, LINK",So you do physically travel on the journey with them in reality.,,,
Devastation from the hurricane thrust the nation into recession.,SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, CONTAINMENT",The strong wind pushed the boat into the harbor.,,,
Congress' refusal to compromise is moving the country toward economic ruin.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, OBJECT",The car's broken steering is moving the vehicle toward a cliff.,,,
It is smooth sailing from here on in in the application process.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, SUBSTANCE",The boat is smoothly sailing from this point to the destination.,,,
It's all downhill for the rest of the course.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, SCALE",The road slopes downward for the remainder of the path.,,,
He exercised to the point of exhaustion.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, FORCE",He walked to the edge of the cliff.,,,
She squeezed her way to thinner thighs.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, SUBSTANCE, SCALE",She pushed through a narrow passage to reach the other side.,,,
He drank himself out of the promotion.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, SUBSTANCE",He walked himself out of the room.,,,
He went on with what he was doing.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT",He continued walking along the path.,,,
She went back to sleep.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT",She walked back to her bedroom.,,,
She successfully navigated her way through the contract negotiations.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE",She successfully walked her way through the crowded hallway.,,,
Regulations keep me from moving ahead with this housing project.,SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",The barrier prevents the car from moving forward on the road.,,,
Sudden illness stopped his progress.,SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, OBJECT",A fallen tree stopped the car's movement.,,,
He's really gotten hung up at that step in the process.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT, SUPPORT",The coat is hung up on the hook in the hallway.,,,
He is so caught up in his work he can't do anything else.,SOURCE_PATH_GOAL,"CONTAINMENT, FORCE, LINK",The fish is so caught in the net it can't swim anywhere else.,,,
He was held up in the meeting.,SOURCE_PATH_GOAL,"CONTAINMENT, FORCE, VERTICALITY",He was physically restrained in the room where the meeting took place.,,,
Our President will chart a path to prosperity.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, OBJECT",The captain will chart a course to the harbor.,,,
We will navigate the choppy waters of recession into smooth fiscal sailing.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, SUBSTANCE, OBJECT",We will steer the boat through rough waves into calm waters.,,,
Pakistan's economy has ability to navigate through choppy waters.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, OBJECT, SUBSTANCE",The ship has the ability to navigate through rough seas.,,,
Crime is stalking the youth of our major cities.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT, OBJECT",A predator is stalking its prey in the forest.,,,
"gang crime ravages inner cities, destroys families, and causes whole neighborhoods to hunker down in fear",SOURCE_PATH_GOAL,"FORCE, CONTAINMENT, OBJECT, PART-WHOLE, VERTICALITY","The flood damages buildings, breaks structures, and makes residents seek shelter in basements",,,
Crime is a beast ravaging the city.,SOURCE_PATH_GOAL,"FORCE, CONTAINMENT, OBJECT, SUBSTANCE",A flood is damaging the buildings in the city.,,,
"His innocence had sent an intricate net of feelers snaking to- ward the world, but when would they be snapped.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, LINK, OBJECT, FORCE","The plant's roots had grown an intricate network spreading toward the soil, but when would they be cut.",,,
Upcoming events.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY",Approaching cars.,,,
What events are up ahead?,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, OBJECT",What objects are in front of us on the path?,,,
All upcoming events are listed in the paper.,SOURCE_PATH_GOAL,"CONTAINMENT, OBJECT, PART-WHOLE",All items are written on the page.,,,
I’m afraid what’s up ahead of us?,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, OBJECT",The road ahead of us is steep and winding.,,,
What’s coming up this week?,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, CONTAINMENT",What events are scheduled for this week?,,,
What’s up?,SOURCE_PATH_GOAL,"VERTICALITY, SOURCE_PATH_GOAL",What object is above us?,,,
We’re looking ahead to the future.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, OBJECT",We're looking ahead to the road.,,,
He has a great future in front of him.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, CONTAINMENT, SCALE",He has a large building in front of him.,,,
That’s a big discovery.,SCALE,"SCALE, OBJECT",That's a big rock.,7,7,
Let’s look at the larger issues.,SCALE,"SCALE, OBJECT, CONTAINMENT",Let's look at the larger buildings.,7,7,
That’s a monumental discovery.,SCALE,"SCALE, OBJECT, VERTICALITY",That's a large building.,7,7,
Mr. Big,SCALE,SCALE,The elephant is big.,7,7,
The big cheese,SCALE,"OBJECT, SCALE",The large wheel of cheese,7,7,
He’ll never amount to anything.,SCALE,"SCALE, SOURCE_PATH_GOAL, SUBSTANCE",The water level will never reach the top of the container.,7,5,
Tomorrow is a big day.,SCALE,"SCALE, OBJECT, CONTAINMENT",The elephant is a big animal.,7,7,
Maslow is a towering figure in humanistic psychology.,SCALE,"VERTICALITY, SCALE, CONTAINMENT",The skyscraper is a towering structure in the city skyline.,7,7,
He stands head and shoulders above them.,SCALE,"VERTICALITY, SCALE, OBJECT",The tower stands taller than the surrounding buildings.,7,7,
That's a bigwig.,SCALE,"SCALE, OBJECT, PART-WHOLE",That's a large wig.,7,7,
He has to be cut down to size (i.e. reduced to his real importance.,SCALE,"SCALE, SPLITTING, VERTICALITY, FORCE",The tree has to be cut down to a smaller height.,7,7,
A big part of this mission was not to contaminate the planet with Earth organisms.,SCALE,"PART-WHOLE, CONTAINMENT, SUBSTANCE, SOURCE_PATH_GOAL",A large section of the container was not to be filled with foreign materials.,7,7,
Texaco is a relatively small player in the California gasoline market but a bigger factor in the Eastern states that want to follow California's lead.,SCALE,"CONTAINMENT, SCALE, SOURCE_PATH_GOAL, OBJECT",Texaco has a small market share in California's gasoline sales but a larger market share in Eastern states that aim to adopt California's regulations.,4,7,very similar
He’s short of money.,SCALE,"SCALE, SUBSTANCE, CONTAINMENT",The glass is short of water.,7,7,
He’s long on good looks.,SCALE,"SCALE, SUBSTANCE",The rope is long in measurement.,7,7,
He’s short on intelligence.,SCALE,"SCALE, SUBSTANCE, VERTICALITY",The glass is short on water.,7,7,
Which of the two classes is bigger?,SCALE,"SCALE, OBJECT, CONTAINMENT",Which of the two boxes has a larger volume?,7,7,
He only has a little money.,SCALE,"CONTAINMENT, SUBSTANCE, SCALE",The jar only contains a little water.,7,7,
I’m not a big eater.,SCALE,"SCALE, SUBSTANCE, CONTAINMENT",The container is not large in size.,7,7,
This class is bigger than that one.,SCALE,"SCALE, OBJECT",This building is bigger than that one.,7,7,
He’s a bigger eater than she is.,SCALE,"SCALE, SUBSTANCE, OBJECT",He consumes more food than she does.,3,7,
I have a smaller amount of money than he does.,SCALE,"SCALE, SUBSTANCE, CONTAINMENT",The glass contains less water than the pitcher.,7,7,
